,Precision,Recall,F1-score,Accuracy,ROC AUC
scibert,97.28958630527818,97.98850574712644,97.63779527559055,97.67769176636172,99.59680935394373
biobert,97.29344729344729,98.13218390804597,97.71101573676681,97.74806474313863,99.43261989694808
bioclinical-bert,97.14285714285714,97.70114942528735,97.42120343839544,97.46657283603096,99.38059849385652
pubmed-bert,96.90576652601969,98.99425287356321,97.93887704335464,97.95918367346938,99.74772096710265
biomed-roberta,98.70503597122303,98.5632183908046,98.63407620416966,98.66291344123856,99.87088783194609
