,Precision,Recall,F1-score,Accuracy,ROC AUC
0,89.00662251655629,96.55172413793103,92.62577532736044,92.47009148486981,92.55172413793103
1,92.65536723163842,94.25287356321839,93.44729344729345,93.52568613652357,93.54022988505747
2,91.53005464480874,96.26436781609196,93.8375350140056,93.80717804363124,93.85632183908046
3,95.47445255474453,93.96551724137932,94.7139753801593,94.86277269528502,94.84482758620689
4,91.39344262295081,96.12068965517241,93.69747899159664,93.66643209007741,93.7155172413793
5,92.62411347517731,93.82183908045977,93.21912919343326,93.31456720619282,93.32471264367815
6,92.5035360678925,93.96551724137932,93.2287954383464,93.31456720619282,93.32758620689656
7,93.67816091954023,93.67816091954023,93.67816091954023,93.80717804363124,93.80459770114943
8,92.1875,93.24712643678161,92.71428571428572,92.8219563687544,92.83045977011494
9,93.66906474820144,93.53448275862068,93.60172537742632,93.73680506685432,93.73275862068965
10,91.36986301369862,95.83333333333334,93.54838709677419,93.52568613652357,93.57183908045978
11,92.90681502086231,95.97701149425288,94.41696113074205,94.4405348346235,94.4712643678161
12,92.16783216783216,94.68390804597702,93.40892983699504,93.45531315974665,93.47988505747126
13,91.78272980501393,94.68390804597702,93.21074964639323,93.2441942294159,93.27298850574712
14,91.21338912133892,93.96551724137932,92.56900212314225,92.61083743842364,92.63793103448276
15,91.94244604316548,91.8103448275862,91.8763479511143,92.04785362420832,92.04310344827587
16,93.77713458755427,93.10344827586206,93.43907714491708,93.59605911330048,93.5862068965517
17,93.24894514767934,95.25862068965517,94.24307036247336,94.29978888106967,94.31896551724137
18,91.88445667125173,95.97701149425288,93.88615600843289,93.87755102040816,93.91954022988504
19,93.81294964028777,93.67816091954023,93.74550682961899,93.87755102040816,93.87356321839081
