,Precision,Recall,F1-score,Accuracy,ROC AUC
0,91.7900403768506,97.98850574712644,94.78804725503822,94.72202674173118,94.78735632183908
1,95.06346967559944,96.83908045977012,95.94306049822063,95.98874032371569,96.00574712643679
2,95.11173184357543,97.84482758620689,96.45892351274787,96.48135116115412,96.50862068965517
3,94.26573426573427,96.83908045977012,95.53508150248051,95.56650246305419,95.5919540229885
4,95.70200573065902,95.97701149425288,95.83931133428982,95.91836734693877,95.91954022988506
5,95.43509272467902,96.12068965517241,95.77666428060128,95.84799437016186,95.85344827586208
6,94.71488178025035,97.84482758620689,96.25441696113074,96.27023223082335,96.30172413793103
7,94.79606188466948,96.83908045977012,95.80668088130776,95.84799437016186,95.86781609195404
8,92.13025780189959,97.5574712643678,94.7662247034194,94.72202674173118,94.77873563218392
9,95.0773558368495,97.12643678160919,96.09097370291401,96.12948627726952,96.14942528735632
10,96.64233576642336,95.11494252873564,95.87255611875452,95.98874032371569,95.9712643678161
11,95.19774011299435,96.83908045977012,96.01139601139602,96.05911330049261,96.07471264367817
12,95.8092485549133,95.25862068965517,95.53314121037464,95.6368754398311,95.62931034482757
13,94.27374301675978,96.98275862068965,95.60906515580737,95.6368754398311,95.66379310344827
14,96.52677279305355,95.83333333333334,96.17880317231436,96.27023223082335,96.26149425287358
15,96.93877551020408,95.54597701149426,96.23733719247466,96.34060520760028,96.32471264367817
16,93.24137931034483,97.12643678160919,95.1442646023927,95.14426460239268,95.183908045977
17,93.75,96.98275862068965,95.33898305084746,95.35538353272344,95.38793103448275
18,94.83240223463687,97.5574712643678,96.1756373937677,96.19985925404644,96.22701149425288
19,94.6927374301676,97.41379310344827,96.03399433427762,96.05911330049261,96.08620689655172
