,Precision,Recall,F1-score,Accuracy,ROC AUC
0,93.09352517985612,92.95977011494253,93.02659956865566,93.17382125263899,93.16954022988506
1,91.18457300275482,95.11494252873564,93.10829817158931,93.10344827586206,93.14367816091955
2,92.13161659513591,92.52873563218391,92.32974910394266,92.47009148486981,92.47126436781609
3,91.18457300275482,95.11494252873564,93.10829817158931,93.10344827586206,93.14367816091955
4,93.76770538243626,95.11494252873564,94.43651925820257,94.51090781140043,94.52298850574714
5,94.21965317919076,93.67816091954023,93.94812680115274,94.08866995073892,94.08045977011494
6,91.50805270863836,89.79885057471265,90.64539521392312,90.92188599577761,90.89942528735632
7,93.47826086956522,92.67241379310344,93.07359307359307,93.2441942294159,93.23275862068967
8,88.94736842105263,97.12643678160919,92.85714285714286,92.68121041520057,92.77011494252874
9,93.51988217967599,91.23563218390804,92.36363636363636,92.61083743842364,92.58333333333334
10,93.65994236311239,93.39080459770115,93.5251798561151,93.66643209007741,93.6609195402299
11,90.57377049180327,95.25862068965517,92.85714285714285,92.8219563687544,92.8706896551724
12,93.24894514767934,95.25862068965517,94.24307036247336,94.29978888106967,94.31896551724137
13,94.0922190201729,93.82183908045977,93.9568345323741,94.08866995073892,94.08333333333331
14,87.75510204081633,86.49425287356321,87.12011577424022,87.47361013370866,87.45402298850577
15,90.9090909090909,94.82758620689656,92.82700421940928,92.8219563687544,92.86206896551724
16,92.56661991584852,94.82758620689656,93.6834634492548,93.73680506685432,93.75862068965516
17,91.49232914923292,94.25287356321839,92.85208775654635,92.89232934553132,92.91954022988506
18,92.36209335219236,93.82183908045977,93.08624376336421,93.17382125263899,93.1867816091954
19,89.5945945945946,95.25862068965517,92.33983286908078,92.25897255453906,92.31896551724138
