,Precision,Recall,F1-score,Accuracy,ROC AUC
0,93.59331476323119,96.55172413793103,95.04950495049505,95.07389162561576,95.10344827586209
1,93.29608938547486,95.97701149425288,94.61756373937676,94.65165376495426,94.67816091954022
2,94.34229137199435,95.83333333333334,95.08196721311477,95.14426460239268,95.1580459770115
3,94.5945945945946,95.54597701149426,95.06790564689065,95.14426460239268,95.15229885057471
4,93.96067415730337,96.12068965517241,95.02840909090908,95.07389162561576,95.09482758620689
5,93.46314325452016,96.55172413793103,94.98233215547704,95.00351864883885,95.0344827586207
6,93.96914446002805,96.26436781609196,95.10290986515258,95.14426460239268,95.16666666666667
7,94.07616361071932,95.83333333333334,94.94661921708186,95.00351864883885,95.02011494252875
8,94.09282700421942,96.12068965517241,95.09594882729212,95.14426460239268,95.16379310344828
9,93.31476323119777,96.26436781609196,94.76661951909477,94.7923997185081,94.82183908045977
10,94.2090395480226,95.83333333333334,95.01424501424502,95.07389162561576,95.08908045977013
11,94.34229137199435,95.83333333333334,95.08196721311477,95.14426460239268,95.1580459770115
12,93.8288920056101,96.12068965517241,94.96096522356281,95.00351864883885,95.02586206896552
13,94.08450704225352,95.97701149425288,95.02133712660029,95.07389162561576,95.0919540229885
14,93.94366197183098,95.83333333333334,94.8790896159317,94.93314567206193,94.95114942528737
15,93.94366197183098,95.83333333333334,94.8790896159317,94.93314567206193,94.95114942528737
16,94.60992907801419,95.83333333333334,95.21770164168451,95.28501055594651,95.29597701149424
17,93.7062937062937,96.26436781609196,94.96810772501773,95.00351864883885,95.0287356321839
18,93.3240611961057,96.4080459770115,94.84098939929328,94.86277269528502,94.89367816091954
19,93.95218002812939,95.97701149425288,94.95380241648898,95.00351864883885,95.02298850574712
